filename,width,height,min_side,file_size_bytes,brightness
iphone_11_pro_(225).JPG,3225,2419,2419,2347814,0.36861371994018555
iphone_11_pro_(226).JPG,3225,2419,2419,2529852,0.3678226172924042
iphone_11_pro_(3).JPG,2419,3225,2419,2517184,0.3585592806339264
iphone_11_pro_(4).JPG,2419,3225,2419,2623051,0.38859081268310547
iphone_11_pro_(5).JPG,2419,3225,2419,2484943,0.3622893989086151
iphone_11_pro_(6).JPG,2419,3225,2419,2309902,0.39743033051490784
iphone_11_pro_(7).JPG,2419,3225,2419,2760274,0.3929058611392975
iphone_11_pro_(71).JPG,2419,3225,2419,2255846,0.38281187415122986
iphone_11_pro_(72).JPG,2419,3225,2419,1729757,0.4592948853969574
iphone_11_pro_(74).JPG,2419,3225,2419,2103852,0.3442264795303345
iphone_11_pro_(75).JPG,2419,3225,2419,2430335,0.37490782141685486
iphone_11_pro_(76).JPG,2419,3225,2419,1843139,0.46239277720451355
iphone_11_pro_(78).JPG,2419,3225,2419,2252695,0.3670866787433624
iphone_11_pro_(79).JPG,2419,3225,2419,2183845,0.39286088943481445
iphone_11_pro_(8).JPG,2419,3225,2419,2441920,0.3964026868343353
iphone_11_pro_(80).JPG,2419,3225,2419,2065383,0.4004225730895996
iphone_11_pro_(81).JPG,2419,3225,2419,1768745,0.4723495543003082
iphone_11_pro_(82).JPG,2419,3225,2419,2385676,0.36037325859069824
iphone_11_pro_(83).JPG,2419,3225,2419,2275393,0.4138675034046173
iphone_11_pro_(84).JPG,2419,3225,2419,2421568,0.4391486942768097
iphone_11_pro_(85).JPG,2419,3225,2419,2362393,0.36516034603118896
iphone_11_pro_(86).JPG,2419,3225,2419,2306142,0.3814800977706909
iphone_11_pro_(89).JPG,2419,3225,2419,2455362,0.36775174736976624
iphone_11_pro_(9).JPG,2419,3225,2419,2607114,0.3682515323162079
iphone_11_pro_(90).JPG,2419,3225,2419,2397593,0.3567188084125519
iphone_11_pro_(91).JPG,2419,3225,2419,2077892,0.3830575942993164
iphone_11_pro_(93).JPG,2419,3225,2419,2459428,0.43351396918296814
iphone_11_pro_(94).JPG,2419,3225,2419,2370241,0.3964269161224365
iphone_11_pro_(95).JPG,2419,3225,2419,2387215,0.3856607973575592
iphone_11_pro_(96).JPG,2419,3225,2419,1653814,0.49928000569343567
iphone_11_pro_(97).JPG,2419,3225,2419,2271566,0.38540491461753845
